1,Room 1,Room 2
2,Room 4,Room 2
2,Room 6,Room 4
2,Room 5,Room 4
2,Room 5,Room 11
2,Shop,Central Hall
2,Room 6,Room 7
2,Room 7,Room 8
2,Room 8,Room 9
2,Room 9,Room 10
2,Room 9,Room 16
2,Room 9,Room 15
2,Room 16,Room 17
2,Room 17,Room 17A
2,Room 17A,Room 19
2,Room 19,Room 20
2,Room 20,Room 21
2,Room 21,Room 18
2,Room 19,Room 18
2,Room 18,Room 22
2,Room 18,Room 24
2,Room 22,Room 23
2,Room 23,Room 24
2,Room 24,Room 25
2,Room 25,Room 28
2,Room 28,Room 29
2,Room 28,Room 27
2,Room 27,Room 26
2,Room 26,Room 18
2,Room 26,Room 15
2,Room 15,Room 17
2,Room 15,Room 16
2,Room 15,Room 29
2,Room 29,Room 14
2,Room 14,Room 11
2,Room 29,Room 30
2,Room 30,Room 31
2,Room 30,Room 32
2,Room 30,Sunley Room
2,Sunley Room,Central Hall
2,Room 32,Room 33
2,Room 32,Room 37
2,Room 37,Room 36
2,Room 33,Room 34
2,Room 44,Room 43
2,Room 34,Room 35
2,Room 35,Room 36
2,Room 34,Room 41
2,Room 41,Room 42
2,Room 42,Room 43
2,Room 43,Room 44
2,Room 44,Room 40
2,Room 40,Room 36
2,Room 44,Room 45
2,Room 36,Room 38
2,Room 38,Room 39
2,Room 39,Central Hall
2,Central Hall,Room 12
2,Room 12,Room 11
2,Room 11,Room 10
2,Room 45,Room 46
2,Room 9,Room 51
2,Room 51,Room 52
2,Room 52,Room 53
2,Room 53,Room 59
2,Room 53,Room 54
2,Room 55,Room 56
2,Room 55,Room 57
2,Room 57,Room 65
2,Room 57,Room 58
2,Room 58,Room 59
2,Room 59,Room 60
2,Room 59,Room 63
2,Room 65,Room 66
2,Room 65,Room 64
2,Room 64,Room 63
2,Room 63,Room 62
2,Room 62,Room 61
2,Room 61,Room 60
2,Room 60,Room 51
