1,Room 1,322,300
2,Room 2,290,285
3,Room 4,260,284
3,Room 5,262,248
3,Room 6,232,286
3,Room 7,207,300
3,Room 8,181,278
3,Room 9,181,216
3,Room 10,226,216
3,Room 11,260,216
3,Room 12,293,216
3,Room 14,260,187
3,Room 15,190,150
3,Room 16,164,167
3,Room 17,164,147
3,Room 17A,164,130
3,Room 18,190,90
3,Room 19,157,112
3,Room 20,157,90
3,Room 21,157,67
3,Room 22,227,67
3,Room 23,227,92
3,Room 24,227,114
3,Room 25,261,114
3,Room 26,215,131
3,Room 27,239,131
3,Room 28,261,130
3,Room 29,261,154
3,Room 30,346,154
3,Room 31,346,123
3,Room 32,431,154
3,Room 33,500,154
3,Room 34,500,217
3,Room 35,468,217
3,Room 36,432,217
3,Room 37,431,187
3,Room 38,398,217
3,Room 39,375,217
3,Room 40,432,250
3,Central Hall,348,217
3,Shop,300,245
3,Room 41,511,276
3,Room 42,487,303
3,Room 43,463,295
3,Room 44,434,295
3,Room 45,403,294
3,Room 46,371,301
3,Room 51,74,207
3,Room 52,81,236
3,Room 53,81,258
3,Room 54,81,280
3,Room 55,82,302
3,Room 56,78,322
3,Room 57,50,312
3,Room 58,50,280
3,Room 59,50,248
3,Room 60,50,206
3,Room 61,22,205
3,Room 62,22,235
3,Room 63,22,262
3,Room 64,22,284
3,Room 65,24,300
3,Room 66,26,317
3,Sunley Room,346,178
