Room 1,322,300
Room 2,290,285
Room 4,260,284
Room 5,262,248
Room 6,232,286
Room 7,207,300
Room 8,181,278
Room 9,181,216
Room 10,226,216
Room 11,260,216
Room 12,293,216
Room 14,260,187
Room 15,190,150
Room 16,164,167
Room 17,164,147
Room 17A,164,130
Room 18,190,90
Room 19,157,112
Room 20,157,90
Room 21,157,67
Room 22,227,67
Room 23,227,92
Room 24,227,114
Room 25,261,114
Room 26,215,131
Room 27,239,131
Room 28,261,130
Room 29,261,154
Room 30,346,154
Room 31,346,123
Room 32,431,154
Room 33,500,154
Room 34,500,217
Room 35,468,217
Room 36,432,217
Room 37,431,187
Room 38,398,217
Room 39,375,217
Room 40,432,250
Central Hall,348,217
Shop,300,245
Room 41,511,276
Room 42,487,303
Room 43,463,295
Room 44,434,295
Room 45,303,294
Room 46,371,301
Room 51,74,207
Room 52,81,236
Room 53,81,258
Room 54,81,280
Room 55,82,302
Room 56,78,322
Room 57,50,312
Room 58,50,280
Room 59,50,248
Room 60,50,206
Room 61,22,205
Room 62,22,235
Room 63,22,262
Room 64,22,284
Room 65,24,300
Room 66,26,317
